baricenter: (0.006500000000000035, 0.006500000000000034, 0.0)
TIME 0.002450, pos: 6.099700e-03 7.044337e-03, Found 5756
baricenter: (0.006500000000000035, 0.007500000000000034, 0.0)
TIME 0.002460, pos: 5.759809e-03 7.329683e-03, Found 5755
baricenter: (0.005500000000000035, 0.007500000000000034, 0.0)
TIME 0.002470, pos: 5.406577e-03 7.598635e-03, Found 5755
baricenter: (0.005500000000000035, 0.007500000000000034, 0.0)
TIME 0.002480, pos: 5.040792e-03 7.850569e-03, Found 5755
baricenter: (0.005500000000000035, 0.007500000000000034, 0.0)
TIME 0.002490, pos: 4.663276e-03 8.084899e-03, Found 5854
baricenter: (0.004500000000000035, 0.008500000000000035, 0.0)
TIME 0.002500, pos: 4.274875e-03 8.301080e-03, Found 5854
baricenter: (0.004500000000000035, 0.008500000000000035, 0.0)
TIME 0.002510, pos: 3.876462e-03 8.498606e-03, Found 5853
baricenter: (0.0035000000000000343, 0.008500000000000035, 0.0)
TIME 0.002520, pos: 3.468932e-03 8.677015e-03, Found 5853
baricenter: (0.0035000000000000343, 0.008500000000000035, 0.0)
TIME 0.002530, pos: 3.053202e-03 8.835885e-03, Found 5853
baricenter: (0.0035000000000000343, 0.008500000000000035, 0.0)
TIME 0.002540, pos: 2.630209e-03 8.974841e-03, Found 5852
baricenter: (0.0025000000000000347, 0.008500000000000035, 0.0)
TIME 0.002550, pos: 2.200907e-03 9.093551e-03, Found 5952
baricenter: (0.0025000000000000347, 0.009500000000000036, 0.0)
TIME 0.002560, pos: 1.766265e-03 9.191730e-03, Found 5951
baricenter: (0.0015000000000000347, 0.009500000000000036, 0.0)
TIME 0.002570, pos: 1.327264e-03 9.269138e-03, Found 5951
baricenter: (0.0015000000000000347, 0.009500000000000036, 0.0)
TIME 0.002580, pos: 8.848962e-04 9.325582e-03, Found 5950
baricenter: (0.0005000000000000347, 0.009500000000000036, 0.0)
TIME 0.002590, pos: 4.401636e-04 9.360918e-03, Found 5950
baricenter: (0.0005000000000000347, 0.009500000000000036, 0.0)
TIME 0.002600, pos: -5.927325e-06 9.375048e-03, Found 5949
baricenter: (-0.0004999999999999653, 0.009500000000000036, 0.0)
TIME 0.002610, pos: -4.523656e-04 9.367924e-03, Found 5949
baricenter: (-0.0004999999999999653, 0.009500000000000036, 0.0)
TIME 0.002620, pos: -8.981385e-04 9.339544e-03, Found 5949
baricenter: (-0.0004999999999999653, 0.009500000000000036, 0.0)
TIME 0.002630, pos: -1.342234e-03 9.289955e-03, Found 5948
baricenter: (-0.0014999999999999653, 0.009500000000000036, 0.0)
TIME 0.002640, pos: -1.783644e-03 9.219253e-03, Found 5948
baricenter: (-0.0014999999999999653, 0.009500000000000036, 0.0)
TIME 0.002650, pos: -2.221365e-03 9.127580e-03, Found 5947
baricenter: (-0.0024999999999999654, 0.009500000000000036, 0.0)
TIME 0.002660, pos: -2.654399e-03 9.015129e-03, Found 5947
baricenter: (-0.0024999999999999654, 0.009500000000000036, 0.0)
TIME 0.002670, pos: -3.081762e-03 8.882138e-03, Found 5846
baricenter: (-0.0034999999999999654, 0.008500000000000035, 0.0)
TIME 0.002680, pos: -3.502479e-03 8.728891e-03, Found 5846
baricenter: (-0.0034999999999999654, 0.008500000000000035, 0.0)
TIME 0.002690, pos: -3.915590e-03 8.555720e-03, Found 5846
baricenter: (-0.0034999999999999654, 0.008500000000000035, 0.0)
TIME 0.002700, pos: -4.320152e-03 8.363002e-03, Found 5845
baricenter: (-0.004499999999999966, 0.008500000000000035, 0.0)
TIME 0.002710, pos: -4.715240e-03 8.151159e-03, Found 5845
baricenter: (-0.004499999999999966, 0.008500000000000035, 0.0)
TIME 0.002720, pos: -5.099950e-03 7.920654e-03, Found 5744
baricenter: (-0.005499999999999965, 0.007500000000000034, 0.0)
TIME 0.002730, pos: -5.473401e-03 7.671998e-03, Found 5744
baricenter: (-0.005499999999999965, 0.007500000000000034, 0.0)
TIME 0.002740, pos: -5.834737e-03 7.405738e-03, Found 5744
baricenter: (-0.005499999999999965, 0.007500000000000034, 0.0)
TIME 0.002750, pos: -6.183128e-03 7.122465e-03, Found 5743
baricenter: (-0.006499999999999966, 0.007500000000000034, 0.0)
TIME 0.002760, pos: -6.517773e-03 6.822808e-03, Found 5643
baricenter: (-0.006499999999999966, 0.006500000000000034, 0.0)
TIME 0.002770, pos: -6.837903e-03 6.507433e-03, Found 5643
baricenter: (-0.006499999999999966, 0.006500000000000034, 0.0)
TIME 0.002780, pos: -7.142778e-03 6.177044e-03, Found 5642
baricenter: (-0.007499999999999965, 0.006500000000000034, 0.0)
TIME 0.002790, pos: -7.431696e-03 5.832377e-03, Found 5542
baricenter: (-0.007499999999999965, 0.005500000000000034, 0.0)
TIME 0.002800, pos: -7.703988e-03 5.474204e-03, Found 5542
baricenter: (-0.007499999999999965, 0.005500000000000034, 0.0)
TIME 0.002810, pos: -7.959023e-03 5.103326e-03, Found 5542
baricenter: (-0.007499999999999965, 0.005500000000000034, 0.0)
TIME 0.002820, pos: -8.196208e-03 4.720575e-03, Found 5441
baricenter: (-0.008499999999999966, 0.004500000000000035, 0.0)
